name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
Moell Exclusive Gift Package - Paket Skincare Bayi Anak Sabun Sampo Hair Lotion Body Lotion - Gift Package Boneka & Buku Cerita - Skincare Anak - Skincare Bayi - Aman Untuk Kulit Sensitif (eksim),Rp600.000,Rp450.000,25%,MOELL OFFICIAL,Jakarta Utara,5.0,1rb+ terjual,https://www.tokopedia.com/moell-official/moell-exclusive-gift-package-paket-skincare-bayi-anak-sabun-sampo-hair-lotion-body-lotion-gift-package-boneka-buku-cerita-skincare-anak-skincare-bayi-aman-untuk-kulit-sensitif-eksim-1730193604568515655?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D18669779
YESALL Rak Skincare Portable Aesthetic Anti Debu Serbaguna - Rak Makeup Kosmetik Estetik Transparan Tempat Penyimpanan Barang Skin care Make up Kotak Penyimpanan Mewah Kapasitas Besar Organizer Storage Box Body Lotion Parfum Sunscreen Moisturizer Parfume,Rp699.000,Rp299.000,57%,YESALL_NEW,Jakarta Barat,5.0,1rb+ terjual,https://www.tokopedia.com/yesall/yesall-rak-skincare-portable-aesthetic-anti-debu-serbaguna-rak-makeup-kosmetik-estetik-transparan-tempat-penyimpanan-barang-skin-care-make-up-kotak-penyimpanan-mewah-kapasitas-besar-organizer-storage-box-body-lotion-parfum-sunscreen-moisturizer-parfume-1730650387446859248?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Special Bundling Hair Lotion & Multipurpose Balm - Skincare Baby,Rp250.000,,,MOELL OFFICIAL,Jakarta Utara,5.0,100+ terjual,https://www.tokopedia.com/moell-official/moell-special-bundling-hair-lotion-multipurpose-balm-skincare-baby?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Twin Package 2 Pcs Calming Rub Cream 50gr - Meningkatkan Kualitas Tidur Sikecil - Dengan Red Ginger Tidur Nyenyak & Nyaman - Tidak Menimbulkan Iritasi - Skincare dengan Microbiome Teknologi Formulasi Dokter - Skincare Bayi - Skincare Anak,Rp260.000,Rp130.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,250+ terjual,https://www.tokopedia.com/moell-official/moell-twin-package-2-pcs-calming-rub-cream-50gr-meningkatkan-kualitas-tidur-sikecil-dengan-red-ginger-tidur-nyenyak-nyaman-tidak-menimbulkan-iritasi-skincare-dengan-microbiome-teknologi-formulasi-dokter-skincare-bayi-skincare-anak-1730403964117615687?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D18669779
Aveeno Baby Daily Moisture Facial Cream 60g – Skincare krim wajah untuk bayi dan anak dan cocok untuk kulit sensitif for sensitive skin newborn baby,Rp199.000,Rp165.170,17%,Kenvue Official Store,Jakarta Timur,5.0,6 terjual,https://www.tokopedia.com/johnsonnjohnson/aveeno-baby-daily-moisture-facial-cream-60g-skincare-krim-wajah-untuk-bayi-dan-anak-dan-cocok-untuk-kulit-sensitif-for-sensitive-skin-newborn-baby-1731492827397784656?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D26529
Tropee Bebe Body Lotion 150ml | Melembutkan dan Melembapkan Kulit | Skincare Bayi dan Anak,Rp124.000,Rp69.440,44%,Tropee Bebe Shop,Jakarta Utara,5.0,250+ terjual,https://www.tokopedia.com/tropeebebeid/tropee-bebe-body-lotion-150ml-melembutkan-dan-melembapkan-kulit-skincare-bayi-dan-anak?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Komik KKPK: My First Skincare,Rp39.000,Rp33.150,15%,Outoftheboox,Depok,5.0,1 terjual,https://www.tokopedia.com/ootb/komik-kkpk-my-first-skincare?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D8362077
YESALL Rak Kosmetik Aesthetic /Tempat Make Up Aesthetic / Rak Skincare Aesthetic / Nampan Aesthetic /Tempat Skincare Aesthetic /Rak Makeup Crown / Tempat Kosmetik /Rak Parfum /Rak Mahkota /Rak Perhiasan Kalung Cincin Anting Gelang /Tempat Penyimpanan,Rp299.000,Rp89.900,70%,YESALL_NEW,Jakarta Barat,5.0,250+ terjual,https://www.tokopedia.com/yesall/yesall-rak-kosmetik-aesthetic-tempat-make-up-aesthetic-rak-skincare-aesthetic-nampan-aesthetic-tempat-skincare-aesthetic-rak-makeup-crown-tempat-kosmetik-rak-parfum-rak-mahkota-rak-perhiasan-kalung-cincin-anting-gelang-tempat-penyimpanan-1731869838012876272?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
[Mizan] Komik KKPK: My First Skincare,Rp39.000,Rp33.150,15%,Millennia Bookstore,Depok,5.0,5 terjual,https://www.tokopedia.com/millenniastoreid/mizan-komik-kkpk-my-first-skincare?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D3209932
Expert Care - Daily Sun prOATection + 2in1 Shampoo & Body Wash + Soothing & Calming Cream | Colloidal Oatmeal | Skincare Ibu & Bayi Kulit Sabun Sensitif,Rp469.700,Rp399.900,15%,Skincare Anak Expert Care,Jakarta Timur,5.0,1rb+ terjual,https://www.tokopedia.com/expertcareid/expert-care-daily-sun-proatection-2in1-shampoo-body-wash-soothing-calming-cream-colloidal-oatmeal-skincare-ibu-bayi-kulit-sabun-sensitif-1731749024199837191?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
JOHNSON'S Milk + Rice Baby Lotion 500ml - Losion Skincare Bayi Newborn Untuk Melembapkan Kulit,Rp88.509,Rp83.198,6%,Kenvue Official Store,Jakarta Timur,5.0,2rb+ terjual,https://www.tokopedia.com/johnsonnjohnson/johnson-s-milk-rice-baby-lotion-500ml-losion-skincare-bayi-newborn-untuk-melembapkan-kulit-1729850882563147069?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D26529
Moell Bundling Calming Rub Cream 50gr & Body Lotion 185gr - Skincare Baby - Natural Organic,Rp260.000,Rp130.000,50%,MOELL OFFICIAL,Jakarta Utara,5.0,50+ terjual,https://www.tokopedia.com/moell-official/moell-bundling-calming-rub-cream-50gr-body-lotion-185gr-skincare-baby-natural-organic-bundle-no-free-7d29a?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
