name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
VENOMRX Sodimm DDR4 3200 Ram Memory Venom RX,Rp350.000,,,Starcomp Solo,Kab. Sleman,5.0,4 terjual,https://www.tokopedia.com/starcompsolo/venomrx-sodimm-ddr4-3200-ram-memory-venom-rx-8gb-9b66c?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch%26whid%3D19300520
RAM DDR4 SODimm V-GeN RESCUE 4GB PC17000/2133Mhz (Memory Laptop VGEN),Rp197.000,,,Intact Official Store,Jakarta Pusat,5.0,500+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-rescue-4gb-pc17000-2133mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN RESCUE 8GB PC19200/2400Mhz Long Dimm (Memory PC VGEN),Rp408.000,,,Intact Official Store,Jakarta Pusat,5.0,1rb+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-rescue-8gb-pc19200-2400mhz-long-dimm-memory-pc-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN Platinum 32GB PC21300/2666Mhz PC25600/3200Mhz LongDimm Memory PC VGEN,Rp1.507.500,,,Intact Official Store,Jakarta Pusat,5.0,1rb+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-platinum-32gb-pc21300-2666mhz-pc25600-3200mhz-longdimm-memory-pc-vgen-1729600312223828098?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR5 V-GeN Platinum 8GB PC44800/5600Mhz LongDimm Memory PC VGEN,Rp584.000,,,Intact Official Store,Jakarta Pusat,5.0,50+ terjual,https://www.tokopedia.com/intact-official/ram-ddr5-v-gen-platinum-8gb-pc44800-5600mhz-longdimm-memory-pc-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 SODimm V-GeN Platinum 32GB PC21300 2666Mhz Memory Laptop VGEN,Rp1.507.500,,,Intact Official Store,Jakarta Pusat,5.0,50+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-platinum-32gb-pc21300-2666mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM SAMSUNG SODIMM DDR4 8GB PC21300 (2666MHZ),Rp499.000,,,KING Laptop,Jakarta Pusat,5.0,16 terjual,https://www.tokopedia.com/king-laptop/ram-samsung-sodimm-ddr4-8gb-pc21300-2666mhz?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
Team T-Create Expert DDR4 32GB (16GB x 2) PC 3600 Ram DDR4 32 GB Kit,Rp1.299.000,,,Starcomp Solo,Kab. Sleman,5.0,3 terjual,https://www.tokopedia.com/starcompsolo/team-t-create-expert-ddr4-32gb-16gb-x-2-pc-3600-ram-ddr4-32-gb-kit?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch%26whid%3D19300520
RAM DDR5 V-GeN Platinum 32GB PC38400/4800Mhz PC44800/5600Mhz LongDimm Memory PC VGEN,Rp1.537.500,,,Intact Official Store,Jakarta Pusat,5.0,3 terjual,https://www.tokopedia.com/intact-official/ram-ddr5-v-gen-platinum-32gb-pc38400-4800mhz-pc44800-5600mhz-longdimm-memory-pc-vgen-1729869606888441986?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN Platinum 8GB PC17000/2133Mhz Long Dimm Memory PC VGEN,Rp427.500,,,Intact Official Store,Jakarta Pusat,5.0,100+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-platinum-8gb-pc17000-2133mhz-long-dimm-memory-pc-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
GSkill Ripjaws 8Gb 3200MHz Memory RAM F4-3200C22S-16GRS DDR4 SODIMM,Rp365.000,,,Starcomp Solo,Kab. Sleman,5.0,2 terjual,https://www.tokopedia.com/starcompsolo/gskill-ripjaws-8gb-3200mhz-memory-ram-f4-3200c22s-16grs-ddr4-sodimm?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch%26whid%3D19300519
VenomRX 16GB DDR4 3200Mhz Venom RX SODIMM RAM Laptop,Rp490.000,,,Starcomp Purwokerto,Kab. Banyumas,5.0,16 terjual,https://www.tokopedia.com/starcomppurwokerto/venomrx-16gb-ddr4-3200mhz-venom-rx-sodimm-ram-laptop?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 SODimm V-GeN RESCUE 8GB PC25600/3200Mhz - Memory Laptop VGEN,Rp452.500,,,Intact Official Store,Jakarta Pusat,5.0,250+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-rescue-8gb-pc25600-3200mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 V-GeN 16GB PC17000/2133MHz ECC REGISTERED -Memory Server VGEN,Rp1.236.000,,,Intact Official Store,Jakarta Pusat,5.0,3 terjual,https://www.tokopedia.com/intact-official/ram-ddr4-v-gen-16gb-pc17000-2133mhz-ecc-registered-memory-server-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DDR4 SODimm V-GeN Platinum 4GB PC17000/2133Mhz Memory Laptop VGEN,Rp206.000,,,Intact Official Store,Jakarta Pusat,5.0,500+ terjual,https://www.tokopedia.com/intact-official/ram-ddr4-sodimm-v-gen-platinum-4gb-pc17000-2133mhz-memory-laptop-vgen?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
